,tamcel,twin,tstep,nodos,edges,Gr.promedio,Clustering,PathLength,Entropia,Alpha,Sigma,energia
3605,6,18,9.0,96,133,2.77083333333,0.0470824314574,4.29824561404,0.19439021716,4.93783370911,0.903401010237,6.44692085556e+14
3606,7,18,9.0,91,132,2.9010989011,0.0746378879919,3.8380952381,0.217814746205,5.58507504776,0.977541284726,6.44692085556e+14
3607,8,18,9.0,92,132,2.86956521739,0.0778571428571,4.01361681796,0.194785909213,4.70454968345,1.40018816884,6.44692085556e+14
3608,9,18,9.0,81,128,3.16049382716,0.0876115653893,3.68425925926,0.286528430252,3.98727522826,1.05616128559,6.44692085556e+14
3609,10,18,9.0,83,132,3.18072289157,0.0801522573812,3.53041434029,0.271010771761,5.18193542427,0.820145012805,6.44692085556e+14
3610,20,18,9.0,58,122,4.20689655172,0.142505143159,2.71445856019,0.415988299023,5.45307361606,1.28549162548,6.44692085556e+14
3611,30,18,9.0,46,117,5.08695652174,0.290955438032,2.33236714976,0.517822738737,4.78399977565,0.977024540877,6.44692085556e+14
3612,40,18,9.0,39,106,5.4358974359,0.281898214507,2.24291497976,0.589598193251,4.25473620417,0.840369274338,6.44692085556e+14
3613,50,18,9.0,33,102,6.18181818182,0.345266517994,2.05113636364,0.666276854096,5.96232640279,1.49619770594,6.44692085556e+14
3614,60,18,9.0,30,98,6.53333333333,0.530971878363,1.9632183908,0.700191146019,5.92551449255,2.01083287124,6.44692085556e+14
3615,70,18,9.0,27,92,6.81481481481,0.523571695794,1.85185185185,0.67568754964,5.80698629471,1.6023287649,6.44692085556e+14
3616,80,18,9.0,24,81,6.75,0.457633375397,1.88043478261,0.750789014978,3.74215680462,0.732872233121,6.44692085556e+14
3617,90,18,9.0,21,80,7.61904761905,0.651770094207,1.68571428571,0.779291637581,3.51980975736,0.673447485136,6.44692085556e+14
3618,100,18,9.0,19,76,8.0,0.606573732425,1.60233918129,0.747215859059,5.51532504571,1.42787115204,6.44692085556e+14
3619,120,18,9.0,16,66,8.25,0.761804861805,1.51666666667,0.819787361006,3.13037372412,0.642331846011,6.44692085556e+14
3620,140,18,9.0,14,57,8.14285714286,0.705333951763,1.42857142857,0.797259863592,12.5799064756,5.17869161049,6.44692085556e+14
3621,160,18,9.0,13,52,8.0,0.790964590965,1.42307692308,0.731811459866,13.1886770468,6.09433852339,6.44692085556e+14
3622,180,18,9.0,11,43,7.81818181818,0.776334776335,1.34545454545,0.747070527145,6.08266789301,1.694222631,6.44692085556e+14
3623,200,18,9.0,10,41,8.2,0.874603174603,1.22222222222,0.669393785002,32.4761760618,18.1727787223,6.44692085556e+14
3624,250,18,9.0,8,32,8.0,0.928571428571,1.10714285714,0.500698736446,15.8578272775,5.615730857,6.44692085556e+14
3625,300,18,9.0,7,23,6.57142857143,0.92380952381,1.19047619048,0.533386265024,23.4666270683,9.1719620931,6.44692085556e+14
3626,350,18,9.0,6,19,6.33333333333,0.933333333333,1.06666666667,0.539047341795,3.26935053084,0.92645847468,6.44692085556e+14
3627,400,18,9.0,5,15,6.0,1.0,1.0,-0.0,,,6.44692085556e+14
3628,450,18,9.0,5,12,4.8,0.866666666667,1.2,0.760964047444,11.9696298955,5.48481494775,6.44692085556e+14
3629,500,18,9.0,4,10,5.0,1.0,1.0,-0.0,,,6.44692085556e+14
3630,1,18,9.0,151,170,2.25165562914,0.0,9.20194260486,0.0912964989951,13.4801688652,1.01900152078,8.76033079555e+14
3631,2,18,9.0,141,170,2.41134751773,0.0,7.12695035461,0.116636628386,9.4565342373,0.714707589092,8.76033079555e+14
3632,3,18,9.0,135,170,2.51851851852,0.0,5.47716970702,0.12952844664,5.11469811432,0.943976487551,8.76033079555e+14
3633,4,18,9.0,129,170,2.63565891473,0.0273116481735,5.27688953488,0.151549476922,5.37980226671,0.933776980759,8.76033079555e+14
3634,5,18,9.0,122,169,2.77049180328,0.0177595628415,4.52716434088,0.177223569698,6.08540550014,0.997330072298,8.76033079555e+14
3635,6,18,9.0,120,170,2.83333333333,0.0686255411255,4.23851540616,0.169067528087,4.67228862685,0.749602777001,8.76033079555e+14
3636,7,18,9.0,107,169,3.15887850467,0.0478640586609,3.57714688767,0.232654545981,5.73225319168,0.823779542997,8.76033079555e+14
3637,8,18,9.0,105,168,3.2,0.108810776184,3.75018315018,0.230199379453,4.14657980444,0.995035902152,8.76033079555e+14
3638,9,18,9.0,101,167,3.30693069307,0.123539580849,3.48514851485,0.260891357536,4.61469519249,1.04347262121,8.76033079555e+14
3639,10,18,9.0,98,168,3.42857142857,0.0764000509892,3.43088575636,0.261541767568,5.89339735295,0.804469569307,8.76033079555e+14
3640,20,18,9.0,72,158,4.38888888889,0.241200620367,2.64397496088,0.392902193593,4.5391469419,0.834184934079,8.76033079555e+14
3641,30,18,9.0,53,148,5.58490566038,0.347714654318,2.27866473149,0.502332140623,3.4967551361,0.832251712033,8.76033079555e+14
3642,40,18,9.0,42,136,6.47619047619,0.386051554053,2.06039488966,0.605272247571,4.25912455997,0.940828221011,8.76033079555e+14
3643,50,18,9.0,34,124,7.29411764706,0.474059684962,1.8752228164,0.661333207057,2.80132886989,0.328876151841,8.76033079555e+14
3644,60,18,9.0,30,114,7.6,0.438080555894,1.90344827586,0.675025259421,3.0341635284,0.43368512144,8.76033079555e+14
3645,70,18,9.0,27,111,8.22222222222,0.495732733897,1.74928774929,0.681635673231,5.08931466841,1.1804834623,8.76033079555e+14
3646,80,18,9.0,24,97,8.08333333333,0.550766433647,1.68115942029,0.678618722337,4.98146461685,1.14934983415,8.76033079555e+14
3647,90,18,9.0,22,92,8.36363636364,0.618728984997,1.68831168831,0.779797592176,5.44572511635,1.34043655745,8.76033079555e+14
3648,100,18,9.0,20,84,8.4,0.593681563535,1.64736842105,0.811322541113,7.48748670812,2.29367292208,8.76033079555e+14
3649,120,18,9.0,17,74,8.70588235294,0.61917331035,1.57352941176,0.823192548484,5.26318557025,1.42106185675,8.76033079555e+14
3650,140,18,9.0,14,60,8.57142857143,0.638426652712,1.43956043956,0.782688477493,6.42885577359,1.71675493331,8.76033079555e+14
3651,160,18,9.0,13,57,8.76923076923,0.74728049728,1.35897435897,0.654358863968,14.280399023,5.01951901808,8.76033079555e+14
3652,180,18,9.0,11,44,8.0,0.789754689755,1.32727272727,0.80180325363,4.25016553571,1.02779258654,8.76033079555e+14
3653,200,18,9.0,10,41,8.2,0.848253968254,1.24444444444,0.77176568643,8.99754551282,2.82755933248,8.76033079555e+14
3654,250,18,9.0,8,31,7.75,0.817857142857,1.14285714286,0.378034895453,60.4313091099,22.462923428,8.76033079555e+14
3655,300,18,9.0,7,24,6.85714285714,0.914285714286,1.14285714286,0.560478395846,15.9777513788,6.1146413954,8.76033079555e+14
3656,350,18,9.0,6,19,6.33333333333,0.933333333333,1.06666666667,0.539047341795,3.26935053084,0.92645847468,8.76033079555e+14
3657,400,18,9.0,5,14,5.6,1.0,1.0,0.360964047444,4.08287932797,1.37870554875,8.76033079555e+14
3658,450,18,9.0,5,14,5.6,1.0,1.0,0.360964047444,4.08287932797,1.37870554875,8.76033079555e+14
3659,500,18,9.0,4,10,5.0,1.0,1.0,-0.0,,,8.76033079555e+14
3660,1,18,9.0,142,165,2.32394366197,0.0,8.05104385176,0.12328178272,10.5144643535,0.807006333648,7.98726570047e+14
3661,2,18,9.0,130,163,2.50769230769,0.0,5.84329159213,0.15545439417,7.77083286186,0.600814261414,7.98726570047e+14
3662,3,18,9.0,123,163,2.65040650407,0.0098186366479,4.79914700786,0.164178904915,5.97093085913,1.01468701263,7.98726570047e+14
